round,drift_standard,drift_gated,improvement_pct,avg_honest_rep,avg_byz_rep,nodes_gated_out,byz_nodes_gated,admitted_count
83,0.029379,0.010218,65.220147,1.000000,0.000000,5,5,15
84,0.032187,0.016697,48.125723,1.000000,0.000000,5,5,15
85,0.036285,0.016969,53.233670,1.000000,0.000000,5,5,15
86,0.035517,0.016023,54.886064,1.000000,0.000000,5,5,15
87,0.030573,0.011720,61.664735,1.000000,0.000000,5,5,15
88,0.027049,0.010339,61.776972,1.000000,0.000000,5,5,15
89,0.034106,0.015026,55.943083,1.000000,0.000000,5,5,15
90,0.028386,0.015869,44.096305,1.000000,0.000000,5,5,15
91,0.037254,0.015580,58.180100,1.000000,0.000000,5,5,15
92,0.027132,0.017730,34.652860,1.000000,0.000000,5,5,15
93,0.024903,0.019418,22.025975,1.000000,0.000000,5,5,15
94,0.034366,0.012248,64.359524,1.000000,0.000000,5,5,15
95,0.035466,0.014604,58.822048,1.000000,0.000000,5,5,15
96,0.032737,0.014444,55.879345,1.000000,0.000000,5,5,15
97,0.035012,0.017678,49.507980,1.000000,0.000000,5,5,15
98,0.029084,0.011366,60.918859,1.000000,0.000000,5,5,15
99,0.037486,0.018806,49.832917,1.000000,0.000000,5,5,15
100,0.040611,0.017228,57.578178,1.000000,0.000000,5,5,15
