round,avg_error,avg_reputation,regime,viral_count,bridge_count,energy_brownouts
48,0.03243997243859725,0.968855834140795,Storm,41,67,0
49,0.032652369489043875,0.9693607645193719,Storm,40,67,0
50,0.032936994728383934,0.9699981049792042,Storm,40,67,0
51,0.033075463841058764,0.970764505743326,Storm,36,67,0
52,0.033439617616223556,0.9710300087365049,Storm,40,67,0
53,0.03338938965007479,0.9718841251888809,Storm,36,67,0
54,0.033594330705059794,0.9724043169396035,Storm,39,67,0
55,0.033741669370777785,0.9728778210032875,Storm,37,67,0
56,0.03402422497055097,0.9733699314960558,Storm,38,67,0
57,0.034458394218860565,0.9734835111180028,Storm,38,67,0
58,0.034924568869883744,0.9734840052557927,Storm,41,67,0
59,0.03511333579425382,0.9740795964747944,Storm,41,67,0
60,0.03468104042696608,0.9022402879281293,Calm,37,67,0
61,0.03503000764445746,0.9029261745691659,Calm,39,67,0
62,0.035089528110316265,0.9035229779351784,Calm,36,67,0
63,0.035179557963861324,0.9040862526648187,Calm,38,67,0
64,0.03433565578612312,0.9046030845371215,Calm,35,67,0
65,0.03524480802811551,0.9051687764538419,Calm,39,67,0
66,0.0345626351597898,0.905667465040209,Calm,35,67,0
67,0.03497068938654514,0.9062002255237904,Calm,37,67,0
68,0.03563535559682415,0.9067026102865369,Calm,38,67,0
69,0.03470445484365543,0.9070859009428824,Calm,35,67,0
70,0.03477574649355911,0.9585823348880382,Calm,38,67,0
71,0.034860358259752346,0.9591182619438314,Calm,37,67,0
72,0.03513788671902614,0.9596333054101365,Calm,37,67,0
73,0.034977691736787546,0.9601216909740554,Calm,38,67,0
74,0.03555026534992552,0.9605980784124764,Calm,36,67,0
75,0.03529326115857324,0.9610481150448942,Calm,38,67,0
76,0.03529992554390059,0.9614880124975838,Calm,36,67,0
77,0.03502734813322825,0.9618586192730677,Calm,36,67,0
78,0.03526961792732102,0.9622339805205918,Calm,35,67,0
79,0.034919415828947135,0.962597820299593,Calm,37,67,0
80,0.03552399087185511,0.9629770194095657,Calm,38,67,0
81,0.034917211217467096,0.9633249705431065,Calm,36,67,0
82,0.034798516005426196,0.9636237642279672,Calm,37,67,0
83,0.03490574185634732,0.9639434363113952,Calm,37,67,0
84,0.03489453754521722,0.9642076416974888,Calm,36,67,0
85,0.03529781544233654,0.9644746551805101,Calm,38,67,0
86,0.035031745886772346,0.9647468863552452,Calm,38,67,0
87,0.03523218999140217,0.9649893317916375,Calm,39,67,0
88,0.034625298808082135,0.9652195991515865,Calm,36,67,0
89,0.034940116718111584,0.9654313755805541,Calm,39,67,0
90,0.0356142659838173,0.9128266661375756,Calm,38,67,0
91,0.034793149253850124,0.9129204686079972,Calm,37,67,0
92,0.034533049191621305,0.913067207906662,Calm,37,67,0
93,0.0354465825922466,0.9132507308569437,Calm,37,67,0
94,0.03518657022574364,0.9134063169263444,Calm,39,67,0
95,0.03533709803515056,0.9134643984416523,Calm,35,67,0
96,0.0345573137457605,0.9136029237319208,Calm,36,67,0
