swarm_size,exponent,final_error,convergence_round,influence_gini,top10_influence_pct
10,1.5,0.04266698349450672,6,0.2917897466604358,0.14413198805454086
10,2.0,0.036897125034223974,0,0.30184666040383645,0.14673630897043066
10,2.5,0.030751364786327756,0,0.3065760919536597,0.1466102282740922
10,3.0,0.03290262698225493,0,0.31453223910162065,0.15322691744883882
10,3.5,0.026643933213731916,0,0.32060174511016526,0.1534858222179855
10,4.0,0.03400499284639816,0,0.3133589145279668,0.15104417255577973
25,1.5,0.03771956685606207,3,0.30885546458930185,0.11842243896961918
25,2.0,0.039992335036510895,1,0.32248359353985323,0.12012982218386548
25,2.5,0.03400136741433069,0,0.331215484364448,0.12282095974602848
25,3.0,0.03850952634263492,0,0.33563887552858773,0.12433716149251652
25,3.5,0.03530028590897518,0,0.33304464908221065,0.12279159607162328
25,4.0,0.03394885677346628,0,0.338797092718204,0.12716228657724804
50,1.5,0.04083127797690677,5,0.32731878379261903,0.15263651280457752
50,2.0,0.03572975177398908,0,0.3437694073050628,0.15600123972001467
50,2.5,0.03433240548626742,0,0.34804627205629,0.1561630158151981
50,3.0,0.03635516714759689,0,0.35411328266439396,0.15826050173096454
50,3.5,0.033200983618161886,0,0.35728967713256227,0.16039919792778087
50,4.0,0.03296266294585999,0,0.35800638024426207,0.16056737981992733
100,1.5,0.03918328737873292,4,0.3361009450885309,0.15402448027851395
100,2.0,0.03615352139331677,0,0.3521056341143569,0.15846513290225311
100,2.5,0.035686799196706094,0,0.35997875354280445,0.16097178054706818
100,3.0,0.034870722926930046,0,0.3636035283084132,0.16162260730037187
100,3.5,0.03522338698955314,0,0.36562849895151756,0.16274945632263155
100,4.0,0.03476908602864434,0,0.3715916594265513,0.16567235043354459
