nodes,memory_mb,memory_per_node_kb,cpu_usage_est,success_rate
10,0.00,0.00,1.00,100.0
50,0.00,0.00,1.00,100.0
100,9.40,96240.00,1.00,100.0
200,0.00,0.00,1.00,100.0
